median_age,event_indx,freq100yr
2014,0,NaN
2013.2,0,NaN
2012.5,0,NaN
2011.7,0,NaN
2010.9,0,NaN
2010.2,0,NaN
2009.1,0,NaN
2008,0,NaN
2006.9,0,NaN
2005.9,0,NaN
2004.9,0,NaN
2003.3,0,NaN
2001.7,0,NaN
2000.4,0,NaN
1999.2,0,NaN
1998,0,NaN
1996.3,0,NaN
1994.6,0,NaN
1993,0,NaN
1991.5,0,NaN
1990.2,0,NaN
1988.5,0,NaN
1986.8,0,NaN
1985.1,0,NaN
1983.5,0,NaN
1982.1,0,NaN
1980.4,0,NaN
1978.7,0,NaN
1977.1,0,NaN
1975.5,0,NaN
1973.9,0,NaN
1972.2,0,NaN
1970.6,0,NaN
1968.9,0,NaN
1967.4,0,NaN
1965.9,0,NaN
1964.1,0,0
1962.3,0,0
1960.4,0,0
1958.7,0,0
1957.2,0,0
1955.6,0,0
1954,0,0
1952.4,0,0
1950.9,0,0
1949.3,0,0
1947.6,0,0
1946,0,0
1944.4,0,0
1942.8,0,0
1941.2,0,0
1939.6,0,0
1937.9,0,0
1936.2,0,0
1934.5,0,0
1933,0,0
1931.5,0,0
1929.9,0,0
1928.4,0,0
1926.8,0,0
1925.1,0,0
1923.6,0,0
1922,0,0
1920.3,0,0
1918.7,0,0
1917.1,0,0
1915.5,0,0
1914,0,0
1912.4,0,0
1910.8,0,0
1909.1,0,0
1907.7,0,0
1906.1,0,0
1904.6,0,0
1903,0,0
1901.4,0,0
1899.9,0,0
1898.4,0,0
1896.9,0,0
1895.4,0,1
1893.9,0,1
1892.4,0,1
1891,0,1
1889.5,0,2
1888,0,2
1886.5,0,2
1885,0,2
1883.6,0,2
1882.2,0,2
1880.7,0,2
1879.2,0,2
1877.8,0,2
1876.2,0,2
1874.7,0,2
1873.1,0,2
1871.6,0,2
1870.2,0,2
1868.8,0,2
1867.2,0,2
1865.8,0,2
1864.3,0,2
1862.9,0,2
1861.5,0,2
1860.2,0,2
1858.7,0,2
1857.3,0,2
1855.7,0,2
1854.2,0,2
1852.5,0,2
1851,0,2
1849.4,0,2
1847.9,0,2
1846.3,0,2
1844.6,1,2
1843,0,2
1841.6,0,2
1840,1,3
1838.5,0,3
1837.1,0,3
1835.6,0,3
1834.1,0,3
1832.5,0,3
1831,0,3
1829.5,0,3
1828,0,3
1826.4,0,3
1825,0,3
1823.4,0,3
1821.8,0,3
1820.2,0,3
1818.5,0,3
1816.9,0,3
1815.4,0,3
1813.9,0,3
1812.3,0,3
1810.7,0,4
1809.2,0,4
1807.7,0,4
1806,0,4
1804.4,0,4
1802.7,0,4
1801.2,0,4
1799.7,0,4
1798.2,0,4
1796.6,0,5
1794.8,0,5
1793.3,0,4
1791.7,0,4
1790.1,1,4
1788.4,0,3
1786.9,0,3
1785.3,0,3
1783.7,0,4
1782.1,0,4
1780.6,0,4
1779,0,4
1777.6,0,4
1776.1,0,4
1774.7,0,4
1773.2,0,4
1771.8,0,4
1770.3,0,5
1768.7,0,5
1767.2,0,5
1765.7,0,5
1764.2,0,5
1762.6,0,5
1761.2,1,5
1759.7,0,5
1758.1,0,5
1756.7,0,5
1755.1,0,6
1753.5,0,6
1751.9,0,6
1750.2,0,6
1748.6,0,6
1746.9,1,6
1745,0,6
1743.1,0,6
1741.4,0,6
1739.8,0,7
1738.5,0,6
1737.3,0,6
1736.1,0,6
1734.8,0,6
1733.7,1,6
1732.6,0,6
1731.6,0,6
1730.5,0,6
1729.4,0,6
1728.1,0,6
1727.1,0,6
1726,0,6
1724.9,0,6
1723.8,0,6
1722.7,0,6
1721.7,0,6
1720.6,1,6
1719.6,0,6
1718.5,0,6
1717.4,0,6
1716.3,0,6
1715.2,0,6
1714.2,0,6
1713.1,0,6
1712.1,0,6
1711,0,6
1710,0,5
1708.9,0,5
1707.8,0,5
1706.7,0,5
1705.6,1,5
1704.6,0,5
1703.6,0,5
1702.5,0,5
1701.4,0,5
1700.3,0,5
1699.2,0,5
1698.1,0,5
1697.1,0,6
1696,0,5
1694.9,0,5
1693.8,0,5
1692.8,0,5
1691.6,0,5
1690.6,0,5
1689.5,1,5
1688.5,0,5
1687.5,0,5
1686.4,0,5
1685.3,0,5
1684.4,0,5
1683.3,0,4
1682.4,0,4
1681.4,0,4
1680.4,0,4
1679.4,0,4
1678.4,0,5
1677.4,0,5
1676.3,0,5
1675.3,0,5
1674.3,0,5
1673.3,0,5
1672.2,0,5
1671.1,0,5
1670,0,4
1669.1,0,4
1668.2,0,4
1667.2,0,4
1666.2,0,4
1665.2,0,4
1664.1,0,5
1663,0,5
1661.9,0,5
1660.8,0,5
1659.9,0,5
1658.9,0,5
1657.8,0,5
1656.8,0,5
1655.9,0,5
1654.9,0,4
1653.9,0,4
1652.8,0,4
1651.7,0,4
1650.6,0,4
1649.5,0,5
1648.5,0,5
1647.5,0,5
1646.5,1,5
1645.5,0,5
1644.4,0,5
1643.4,0,5
1642.4,0,6
1641.5,0,6
1640.5,0,6
1639.5,0,6
1638.5,0,5
1637.4,0,5
1636.3,0,5
1635.2,0,5
1634.1,0,5
1633.1,0,5
1632.2,0,5
1631.1,0,5
1630.1,0,5
1629.1,0,5
1628.2,1,5
1627.3,0,5
1626.4,0,5
1625.4,0,5
1624.5,0,5
1623.6,0,5
1622.7,0,5
1621.8,0,5
1620.9,0,5
1620,0,5
1619.2,0,5
1618.4,0,5
1617.5,0,5
1616.6,0,5
1615.8,0,5
1615,0,5
1614.1,1,5
1613.2,0,5
1612.4,0,5
1611.6,0,5
1610.8,0,5
1609.9,0,5
1609.1,0,5
1608.4,0,5
1607.5,0,5
1606.7,0,5
1606,0,5
1605.2,0,5
1604.3,0,5
1603.6,0,5
1602.7,0,5
1601.9,0,5
1601,0,5
1600.3,1,5
1599.5,0,5
1598.7,0,5
1597.9,0,5
1597,0,5
1596.2,0,4
1595.3,0,4
1594.3,0,4
1593.3,0,4
1592.2,1,5
1591.2,0,5
1590,0,5
1588.9,0,5
1587.7,0,5
1586.5,0,5
1585.4,0,5
1584.3,0,5
1583.3,0,5
1582.2,0,5
1581.1,0,5
1580.1,0,5
1579,0,5
1578,0,5
1576.9,0,4
1575.8,0,4
1574.6,0,4
1573.5,0,4
1572.6,0,4
1571.6,0,4
1570.4,0,4
1569.4,0,4
1568.3,0,4
1567.3,0,4
1566.3,0,4
1565.3,0,4
1564.2,0,4
1563.1,0,3
1562.1,0,3
1561,0,3
1560,0,3
1558.9,0,3
1557.9,0,3
1556.7,0,3
1555.7,0,3
1554.7,0,3
1553.6,0,3
1552.6,0,3
1551.6,0,3
1550.5,0,3
1549.5,0,3
1548.5,0,2
1547.5,0,2
1546.5,0,2
1545.6,0,2
1544.7,0,2
1543.7,0,3
1542.7,0,3
1541.7,1,3
1540.5,0,2
1539.4,0,3
1538.2,0,3
1536.9,0,3
1535.9,0,3
1534.7,0,3
1533.6,0,3
1532.4,0,3
1531.2,0,3
1530.2,0,3
1529.2,0,3
1528,0,3
1526.9,0,3
1525.7,0,3
1524.7,0,3
1523.7,0,3
1522.7,0,3
1521.6,0,3
1520.5,0,3
1519.5,0,3
1518.5,0,3
1517.5,0,3
1516.4,0,3
1515.3,0,3
1514.3,0,3
1513.3,0,3
