depth	min	max	median	mean
0	-67	-62	-64	-64
1	-66	-61	-63	-63
2	-65	-60	-63	-63
3	-65	-59	-62	-62
4	-64	-58	-61	-61
5	-64	-57	-60	-60
6	-62	-56	-59	-59
7	-61	-55	-58	-58
8	-60	-53	-57	-57
9	-60	-51	-56	-56
10	-59	-48	-55	-54
11	-58	-46	-53	-53
12	-57	-43	-52	-51
13	-57	-39	-50	-50
14	-56	-35	-49	-48
15	-56	-31	-48	-46
16	-55	-29	-46	-45
17	-54	-26	-44	-43
18	-53	-23	-42	-41
19	-52	-20	-40	-39
20	-52	-15	-39	-37
21	-51	-14	-37	-36
22	-50	-12	-35	-34
23	-49	-9	-34	-32
24	-48	-6	-32	-31
25	-47	-3	-30	-29
26	-46	-1	-29	-27
27	-45	1	-27	-26
28	-44	3	-25	-24
29	-43	6	-23	-22
30	-42	9	-22	-20
31	-40	11	-20	-19
32	-39	13	-18	-17
33	-38	14	-16	-15
34	-37	17	-14	-13
35	-37	19	-13	-12
36	-35	21	-11	-10
37	-34	23	-9	-8
38	-32	26	-7	-6
39	-31	29	-6	-5
40	-30	32	-4	-3
41	-28	34	-2	-1
42	-26	36	-1	0
43	-25	38	1	2
44	-24	40	3	4
45	-23	43	4	5
46	-21	44	6	7
47	-19	45	7	9
48	-18	48	9	11
49	-16	49	11	12
50	-15	52	12	14
51	-13	54	14	16
52	-12	56	15	17
53	-11	58	17	19
54	-10	61	19	20
55	-9	65	20	22
56	-6	66	22	24
57	-4	68	24	26
58	-3	70	26	27
59	-2	72	27	29
60	-1	75	29	31
61	2	77	31	32
62	3	78	32	34
63	5	80	34	36
64	7	82	36	38
65	8	84	37	39
66	11	85	39	41
67	13	87	40	43
68	14	89	42	44
69	16	90	44	46
70	17	92	45	48
71	19	94	47	49
72	21	96	48	51
73	23	98	50	53
74	24	100	51	54
75	25	102	52	56
76	27	104	54	58
77	28	105	56	59
78	30	107	58	61
79	30	110	59	63
80	31	113	61	65
81	33	114	62	66
82	34	116	64	68
83	35	117	66	69
84	36	119	67	71
85	37	121	69	73
86	39	123	71	74
87	40	125	72	76
88	42	126	74	78
89	43	128	76	79
90	44	130	77	81
91	46	131	79	82
92	47	132	81	84
93	49	134	83	86
94	50	136	84	87
95	51	138	86	89
96	52	139	87	91
97	54	140	88	92
98	55	141	90	94
99	57	143	91	96
100	58	145	93	97
101	60	146	95	99
102	61	147	96	101
103	62	149	98	102
104	64	150	100	104
105	64	151	101	106
106	66	152	103	107
107	68	155	104	109
108	69	157	106	111
109	70	159	107	112
110	72	162	109	114
110.00002	72	162	109	114
111	72	162	109	114
112	72	162	109	114
113	72	162	109	114
114	72	162	109	114
114.00002	72	162	109	114
115	74	163	110	116
116	75	164	112	117
117	76	166	113	119
118	78	168	115	120
119	79	170	116	122
120	81	171	118	124
121	82	172	120	125
122	84	173	122	127
123	85	175	124	128
124	86	177	125	130
125	87	178	127	131
126	88	179	129	133
127	90	180	131	135
128	91	181	133	136
129	92	183	135	138
130	93	184	137	140
131	95	185	138	141
132	96	187	140	143
133	97	188	142	144
134	98	189	143	145
135	100	190	145	147
136	102	192	147	148
137	103	193	148	150
138	105	194	150	151
139	105	196	152	153
140	107	198	154	155
141	109	199	156	156
142	110	200	158	158
143	112	201	159	159
144	113	203	161	161
145	114	204	162	162
146	116	205	164	164
147	117	206	166	166
148	118	207	168	167
149	120	209	170	169
150	121	210	171	170
151	124	211	173	172
152	126	212	175	173
153	126	213	177	175
154	127	215	179	177
155	129	216	180	178
156	131	217	182	180
157	133	218	184	181
158	134	219	185	183
159	135	221	187	184
160	138	222	189	186
161	139	223	190	187
162	141	223	192	189
163	143	225	194	190
164	144	226	196	192
165	147	227	197	193
165.00002	147	227	197	193
166	147	227	197	193
167	147	227	197	193
168	147	227	197	193
168.00002	147	227	197	193
169	149	228	199	195
170	150	229	201	197
171	151	230	203	198
172	152	232	204	200
173	155	233	206	201
174	157	234	209	203
175	159	234	210	204
176	160	236	212	206
177	162	237	214	208
178	164	238	216	209
179	166	239	218	211
180	168	240	220	212
181	170	241	222	214
182	171	242	224	215
183	173	243	225	217
184	174	244	226	218
185	175	245	227	219
185.00002	175	245	227	219
186	175	245	227	219
187	175	245	227	219
188	175	245	227	219
189	175	245	227	219
190	175	245	227	219
190.00002	175	245	227	219
191	176	247	228	220
192	177	249	229	221
193	178	249	230	222
194	180	250	231	224
195	182	251	232	225
196	183	252	233	226
197	185	253	233	227
198	186	254	234	228
199	188	255	235	229
200	188	256	236	231
201	190	258	237	232
202	191	259	238	233
203	194	259	239	234
204	196	260	240	235
205	197	261	241	236
206	198	263	242	238
207	199	264	243	239
208	201	265	244	240
209	203	266	245	241
210	204	267	246	242
211	205	268	247	244
212	206	269	248	245
213	208	269	250	246
214	210	271	251	247
215	211	271	252	248
216	213	272	253	249
217	214	274	254	250
218	216	274	255	252
219	217	275	256	253
220	219	276	257	254
221	221	277	258	255
222	222	278	259	256
222.00002	222	278	259	256
223	222	278	259	256
224	222	278	259	256
225	222	278	259	256
226	222	278	259	256
226.00002	222	278	259	256
227	224	279	260	257
228	226	280	261	258
229	228	281	262	259
230	230	282	263	261
231	231	283	264	262
232	233	284	265	263
233	235	285	266	264
234	236	285	267	265
235	237	286	268	266
236	239	287	269	267
237	241	288	270	269
238	243	289	271	270
239	245	290	273	271
240	246	291	274	272
241	247	292	275	273
242	250	293	276	274
243	252	293	277	275
244	254	294	278	277
245	255	295	279	278
246	257	296	280	279
247	259	297	281	280
248	261	297	282	281
249	264	298	283	282
250	265	299	284	283
251	267	300	285	285
252	268	301	286	286
253	269	302	287	287
254	270	303	288	288
255	271	305	289	289
256	272	306	290	290
257	273	307	291	291
258	275	308	292	292
259	275	310	293	293
260	276	311	294	294
261	277	313	295	295
262	278	314	296	296
263	279	315	298	297
264	280	316	299	299
265	281	318	300	300
266	282	319	301	301
267	284	320	302	302
268	285	321	303	303
269	286	323	304	304
270	287	324	305	305
271	288	325	306	306
272	289	326	307	307
273	290	327	308	308
274	291	328	309	309
275	293	329	310	311
276	293	331	311	312
277	295	331	312	313
278	296	332	313	314
279	297	333	314	315
280	298	335	316	316
281	299	336	317	317
282	301	337	318	318
283	303	338	319	319
284	304	339	320	320
285	306	340	321	321
286	307	342	322	323
287	308	343	323	323
288	309	343	324	324
289	310	345	325	325
290	310	346	326	326
291	311	347	326	327
292	311	348	327	328
293	312	349	328	329
294	313	350	329	330
295	314	351	330	331
296	314	352	331	331
297	315	353	332	332
298	316	354	332	333
299	317	356	333	334
300	318	357	334	335
301	319	358	335	336
302	320	359	336	337
303	320	360	337	338
304	321	361	337	339
305	322	362	338	339
306	322	364	339	340
307	323	365	340	341
308	324	365	341	342
309	325	367	342	343
310	326	368	343	344
311	327	369	344	345
312	328	370	344	346
313	328	371	345	347
314	329	373	346	347
315	330	374	347	348
316	331	376	348	349
317	332	377	349	350
318	333	378	349	351
318.00002	333	378	349	351
319	333	378	349	351
319.00002	333	378	349	351
320	333	378	350	352
321	334	379	351	353
322	335	381	352	354
323	336	382	353	355
324	337	383	354	356
325	337	384	355	357
326	338	385	356	358
327	339	386	357	358
328	340	387	358	360
329	341	388	359	361
330	341	390	360	362
331	342	391	361	363
332	342	392	362	364
333	344	393	363	365
334	345	394	364	366
335	346	395	365	367
336	346	396	366	368
337	347	398	367	369
338	348	398	368	370
339	349	399	369	371
340	349	400	370	372
341	350	402	371	373
342	351	404	372	374
343	352	404	373	375
344	353	405	374	376
345	354	406	376	377
346	354	407	377	378
347	355	408	378	379
348	356	409	379	380
349	357	411	379	381
350	358	412	380	382
351	359	413	381	383
352	360	414	383	384
353	361	415	384	385
354	362	416	385	386
355	363	417	386	387
356	364	418	387	388
357	364	420	388	390
358	366	420	389	391
359	367	421	390	392
360	368	422	391	393
361	368	424	392	394
362	369	425	393	395
363	370	426	394	396
364	371	426	395	397
365	372	427	396	398
366	373	428	397	399
367	373	430	398	400
