Depth,Median,Min,Max
14.5,1994,1958,1995
43,1676,1645,1800
61.5,1765,1661,1927
75,1815,1672,1944
134.5,1774,1670,1914
141.5,1804,1671,1945
174.5,1815,1670,1894
208,1647,1528,1793
226,1643,1522,1798
346,1563,1501,1641
471,1428,1409,1444
574,1347,1302,1400
671.5,1268,1227,1283
731,1188,1053,1223
776,1086,1045,1210
938.5,1042,995,1153
980.5,1015,993,1031
1025,961,892,1016
1136.5,861,772,972
1191,789,686,876
1306,722,676,820
1443.5,740,663,775
1574.5,624,600,652
1660,572,546,599
