"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",-12.74029,46.773915,79.659908,114.954488,150.155195,159.916695,168.846729,172.291491,176.981705,191.395535,203.003995,253.497335,270.992222,291.44571,303.686651,309.929927,321.258145,330.031825,376.571661,392.3290225,439.6707955,445.8049315,447.19202706,454.1951402,459.4878712,483.7472212,490.1806612,497.2777392,500.7819162,536.3592962,542.3598662,579.4997312,594.1782212,613.1955732,622.3426442,640.8714422,644.7917452,663.8493292,707.7422642,734.5339622,775.9259962
"2",-16.6306466,56.833288,104.563481,155.565173,182.611133,190.520495,192.289383,198.794429,204.057328,217.000148,226.0354785,265.8471535,277.2595385,301.7340165,322.7614505,329.2146725,341.6658335,353.9327315,380.1609045,429.0962985,458.5445275,460.3596313,460.9011665,467.5080265,472.3044505,495.2986745,508.5726445,520.3449245,531.0344095,554.1041495,560.4925895,594.2583155,607.7837645,625.6499105,633.6901745,647.1873245,657.4022085,667.6398915,725.6197535,748.443297,780.096109
"3",-17.685572,65.547386,119.420508,157.65172,171.879735,183.252045,194.682088,197.690178,205.921045,210.992132,220.17228,268.150285,277.769052,289.86075,311.806086,321.920982,332.103681,336.657645,384.285085,419.65441,454.96023,460.716124,464.403548,476.03979,480.983084,497.19818,504.67739,508.527054,518.42185,531.982344,536.94372,569.582885,584.813213,605.811899,622.382705,630.4876945,646.4940785,666.0641645,689.6947265,719.9390555,773.5168215
"4",-15.151475,53.794416,129.4278865,165.5039965,184.9420815,195.8168615,204.4329105,206.6395855,207.833789,215.535169,230.597019,258.792844,279.7141565,300.3318865,326.9066005,349.0656985,359.0441455,364.7145415,396.3472245,436.8428255,488.3676705,494.4174425,498.7051275,501.8652825,510.7306765,517.3902415,522.8277565,529.8298785,534.4725965,552.996996,557.299586,597.089339,615.172895,626.1434704,629.5576005,639.1948075,652.0542235,673.3643225,707.8179725,734.2208175,771.1381925
"5",-21.537754,66.320875,125.0754995,165.0264665,198.5146215,215.6258035,219.4034915,225.7460335,230.9394665,233.7002605,244.7364165,268.4827815,279.2351865,295.0948765,322.7968865,328.9961415,335.0990215,345.2823615,385.6495515,439.7008615,482.0950765,485.0563485,487.1966705,493.4409695,502.2801985,510.7446665,517.7342215,526.3308905,529.5170615,551.3536195,552.9367895,584.5797485,599.1935265,611.599201,629.066507,636.703616,641.836101,660.3805786,698.2236765,729.6785115,773.5995255
"6",-12.674623,60.69314,127.421895,163.959538,175.155275,186.344675,194.676035,198.711475,214.184265,219.189566,227.553669,276.25264,288.032775,303.549365,346.109085,366.285119,371.29361,374.792142,403.040559,434.147403,476.530301,480.775653,484.395485,496.162523,506.578562,520.417486,533.094616,539.16939,541.832008,556.992956,560.382038,595.150971,607.214863,620.097994,633.727553,646.177448,648.244462,662.931166,710.764649,741.737618,769.968639
"7",-19.002126,44.3027,106.323191,145.739806,168.038866,179.334446,190.001643,193.512943,222.652911,227.127637,238.203671,268.338621,283.795271,303.524671,325.859425,337.732227,346.237982,352.485306,386.7307745,418.0813135,473.6583135,480.3659235,484.4965825,487.5371345,496.0527285,506.7591565,512.7607985,518.5409475,524.4822625,539.902968,541.503471,567.40927,579.824307,605.457967,625.404102,633.169957,635.076508,653.783897,689.553946,735.162617,753.0128855
"8",-18.26376,22.984537,77.294136,148.426844,170.809236,181.521297,182.760897,185.983961,212.697591,217.12031,227.257216,269.781876,283.599861,301.472301,321.47488,325.353098,336.270435,339.149961,382.55446,433.913636,488.528126,496.326254,498.4946736,500.077102,505.879846,520.020374,528.686581,532.661334,537.180171,555.030672,558.843775,581.0012184,592.58938,607.219477,613.476845,617.11698,621.964211,659.181745,700.551885,745.03247,779.168607
"9",-9.845658,29.427778,100.410022,157.970704,178.269987,194.69023,197.845737,200.673725,218.742517,228.102263,233.134603,269.630842,279.14608,294.509467,319.218847,324.085439,328.538374,331.873722,377.2176915,412.5866167,460.9089855,482.4692255,485.7746655,487.8300025,494.1637705,515.1839475,522.3943705,529.2529055,536.9042555,549.0354128,552.3936928,574.6270628,591.8264078,620.0975228,630.7615428,641.5227678,648.9887298,660.5273846,684.1345643,736.6874643,763.2666453
"10",-28.571901,34.264823,84.72434,141.455165,159.887875,167.921575,170.644962,177.25879,198.74124,212.53821,223.377158,278.14277,287.532005,296.840833,332.610339,337.183774,343.645346,345.088254,406.119512,425.7132655,469.4898155,472.0822655,475.4374695,481.6755755,495.9405355,515.0977015,522.3431455,531.4293405,537.5897655,548.6296565,551.1150905,574.3746655,589.0823655,625.0283505,637.2751495,642.1421255,647.2147475,666.9609515,696.8487555,738.3943285,755.131835
"11",-19.477802,49.531415,120.415965,161.383327,173.883115,183.253809,185.738597,189.912645,198.675245,214.584155,219.071465,268.379975,280.820725,294.598753,339.843151,343.854866,348.15565,353.923362,404.769723,449.4184414,495.1340425,507.7074825,512.6173557,516.653525,523.802469,545.575264,554.255584,559.192554,567.782694,588.697019,591.370668,615.177189,627.502644,642.974598,650.951895,652.310441,655.147612,669.331186,707.740038,743.184819,757.229424
"12",-22.634071,45.491953,112.237704,147.393557,158.470245,167.846849,170.921594,176.20351,189.13027,215.36125,223.07932,269.018305,279.56903,297.656815,319.867893,328.735772,332.342656,336.53576,387.276093,451.373981,486.5941415,490.4711915,498.5109295,502.3295175,507.6386455,520.1445815,525.7221515,538.0656265,549.0712815,565.3412825,571.5271165,597.310177,611.942122,620.887873,627.367014,632.005656,635.66832,652.867601,682.808137,709.948084,738.958298
"13",-25.263445,57.50087,123.76288,160.415116,169.206215,177.642755,190.9027993,193.4708565,204.3712365,226.7141245,239.5665765,283.4811665,290.8021025,309.7887465,330.0427249,336.3724355,338.8677515,343.3912275,405.7780775,460.1354685,503.3797325,512.2870725,518.0214605,525.4916575,533.8126875,554.8699475,565.9762675,576.1219375,587.8387575,601.2595045,602.9578775,632.0574125,663.6263605,682.1382375,684.8763835,694.4096125,697.7300575,715.0300935,768.4324275,835.67902,862.0191441
"14",-8.598874,61.572919,124.221846,162.615732,181.241517,188.021337,193.089069,199.634577,207.887817,226.299517,236.261727,274.954537,283.27511,307.228734,319.926657,334.231577,347.664024,348.855654,393.074186,446.0716345,486.363312,489.982507,492.733909,505.844753,516.076407,534.108567,547.009237,556.810767,569.119847,599.931502,601.860101,633.866222,651.705499,663.216328,664.7001805,675.8378045,678.3630975,690.6137335,723.4773345,765.0878855,781.6127495
"15",-10.480685,43.844746,108.996932,152.029654,172.8733935,186.0663435,199.6331635,204.0858315,207.1314985,225.7374415,231.7057225,268.5061535,277.5464815,301.1082535,322.1813075,328.8137935,333.8593235,336.8668975,380.0087685,409.536538,448.407263,453.219988,455.785407,468.954903,483.412343,496.357243,519.685683,524.654059,535.897004,546.437859,547.349201,573.053274,602.606074,616.798964,633.097529,647.224149,655.614379,669.722866,700.948223,735.705771,760.47427
"16",-16.327285,50.387345,108.9591952,167.157907,177.932333,185.111747,201.368367,206.373619,207.405087,230.481094,237.483542,266.794787,285.289703,295.169144,321.723917,327.804974,330.706337,333.283199,381.089899,435.879289,470.851269,476.409845,480.988577,487.37494,501.582209,514.773493,526.636559,531.712773,537.563799,541.90914,542.632539,576.308434,610.38564,624.039066,630.065564,643.255609,646.488713,656.740087,690.999936,739.329954,775.661016
"17",-21.103525,36.383552,87.037565,156.2481,171.281242,176.48605,188.473712,190.704072,198.74389,221.1816007,229.1748945,260.439658,287.458388,298.220644,328.408428,331.9600655,335.2005815,336.4889895,380.5411906,424.413223,474.662403,482.410711,486.906801,493.780666,502.183003,523.387513,536.3542785,543.0517735,547.477209,553.8554505,555.6728445,585.5206415,597.6610425,615.7395695,622.6762817,636.293876,647.648596,661.388644,693.699701,724.843274,750.557437
