depth,coarse
0,0.740830702
1,4.18061343
2,0.670794634
3,0.59494555
4,0.690136476
5,0.802082101
6,0.652783524
7,0.640566103
8,0.88056287
9,1.018419444
10,1.066743273
11,1.286872037
12,1.802368828
13,2.330970322
14,1.83857109
15,3.002375843
16,4.096241217
17,1.539235762
18,0.726284966
19,0.581137253
20,0.66011236
21,0.712929855
22,0.693224882
23,0.688096135
24,0.448508223
25,0.537119993
26,0.861423221
27,1.267442136
28,1.147840014
29,1.325691503
30,3.271726451
31,14.61178012
32,4.42425168
33,8.407103579
34,3.58465548
35,0.481588333
36,1.039911138
37,1.858533933
38,1.756721558
39,1.184357013
40,1.55220951
41,1.726800241
42,2.097548136
43,1.465454075
44,1.827715356
45,2.039350855
46,1.910842294
47,2.398203159
48,2.33279679
49,2.467105263
50,2.66844563
51,2.976886411
52,2.673456397
53,3.202941567
54,3.983067154
55,6.037429874
56,6.763755901
57,6.233871787
58,4.203969595
59,2.106314601
60,1.731229077
61,1.978952413
62,2.20846785
63,2.853352383
64,3.442527466
65,6.383895858
66,7.886739764
67,8.378010723
68,7.524173683
69,6.266773389
70,6.762185324
71,5.168560472
72,5.549501216
73,5.081464443
74,5.450587365
75,5.617084911
76,7.705144435
77,9.800892219
78,7.311163395
79,9.260025618
80,10.5913787
81,10.11523688
82,8.439211007
83,7.095020868
84,9.216053536
85,8.402641442
86,12.05573576
87,6.703109192
88,5.525153293
89,6.625943664
90,5.473635774
91,3.460079743
92,4.558536438
93,4.971242588
94,6.304236856
95,4.485938372
96,4.242609894
97,4.643681699
98,3.945468445
99,4.608008904
100,4.819943463
101,4.043275836
102,4.029528725
103,3.853182269
104,4.64283559
105,4.435305448
106,5.9072083
107,5.411050267
108,5.305172447
109,5.018855813
110,4.757847949
111,4.240325513
112,4.93651696
113,4.906819424
114,4.926355918
115,4.769404595
116,4.783147887
117,4.757057687
118,3.05003869
119,3.231286304
120,5.654701203
121,5.373359799
122,6.053958276
123,5.876500218
124,5.177244251
125,4.673672098
126,2.429260113
127,3.329317014
128,1.456929147
129,1.829237267
130,1.183546343
131,1.917571777
132,2.134117424
133,1.815509835
134,1.568879815
135,0.762786274
136,3.231160393
137,3.391988682
138,6.64807164
139,1.373249972
140,0.975691464
141,1.167162776
142,0.990460727
143,0.899385785
144,3.28933274
145,3.378483039
146,0.887315058
147,0.666360294
148,0.991922397
149,0.650921008
150,0.722193187
151,0.82522905
152,1.573818123
153,1.069494275
154,1.554592014
155,2.587430098
156,3.032563403
157,2.067512309
158,0.484467816
159,0.206364722
160,0.185242359
161,0.310892636
162,1.360240118
163,0.996068559
164,1.625544748
165,1.960982717
166,1.960390618
167,2.22806441
168,2.936910805
169,3.06260675
170,1.894810314
171,1.345650276
172,2.077071926
173,2.111398736
174,5.320595855
175,2.275530884
176,3.117350612
177,3.161169312
178,3.779344137
179,40.92303402
180,5.339667998
181,0.334758483
182,1.429944263
183,0.524934383
184,0.902218033
185,1.133947555
186,1.244516782
187,2.00915215
188,3.182798827
189,3.092724461
190,3.063161258
191,3.675858005
192,2.810512134
193,8.169291339
194,7.920282647
195,7.736131934
196,11.27789736
197,1.23480048
198,0.83670953
199,0.894914798
200,8.064953556
201,11.55343524
202,10.9885607
203,6.213490615
204,7.487579324
205,12.02124476
206,14.27574009
207,21.04699193
208,12.82319392
209,0.600580561
210,0.607949815
211,1.701142483
212,8.223698493
213,1.248809398
214,0.830968788
215,3.110005645
216,6.833768073
217,0.926401369
218,1.695320437
219,6.749167063
220,18.67136479
221,5.940390545
222,0.953951623
223,0.789340102
224,0.801004108
225,1.212249289
226,1.229104466
227,1.151849784
228,5.890032639
229,3.942065078
230,1.932019954
231,1.868288624
232,0.590093085
233,0.603194888
234,0.688683399
235,0.86827397
236,1.832853747
237,8.513252236
238,1.388471267
239,1.830500209
240,1.446725722
241,0.662104952
242,1.380940766
243,1.933028268
244,0.911971402
245,1.274378172
246,1.11377025
247,0.493567294
248,0.582233855
249,0.987806031
250,0.806470969
251,1.169521559
252,1.150407573
253,2.805669187
254,3.068273092
255,1.399776036
256,2.571088308
257,2.565111486
258,1.589348784
259,0.884444605
260,0.48146043
261,0.152693808
262,0.389673648
263,1.465371482
264,1.500764889
265,1.340367888
266,1.89883778
267,1.911570441
268,6.413767349
269,5.478786809
270,9.962574241
271,14.75758161
272,3.35422262
273,1.299028149
274,1.007094172
275,0.724034621
276,1.200509714
277,2.22681617
278,2.06287085
279,2.079201587
280,0.687757909
281,2.404591683
282,3.615599563
283,12.99807639
284,27.66786635
285,5.213327669
286,0.676977813
287,0.703839122
288,0.719069161
289,1.427432965
290,0.981258429
291,0.902796776
292,0.713818657
293,0.873890125
294,0.968790239
295,4.353686481
296,19.30665262
297,1.273650517
298,1.773981603
299,2.493917275
300,3.682735348
301,2.364679377
302,1.358527676
303,1.887373261
304,1.278726761
305,1.992601573
306,1.173576086
307,0.962681477
308,0.658868942
309,0.497382199
310,0.400222164
311,1.885135347
312,8.614749411
313,15.70677402
314,22.14105643
315,5.637420282
316,0.89564809
317,1.335958063
318,2.619612674
319,2.517323208
320,3.842613051
321,3.902133759
322,6.816891087
323,18.08349354
324,25.99867546
325,9.158406143
326,1.359360025
327,1.589506173
328,1.511089069
329,1.542563321
330,0.626020163
331,0.703897073
332,6.111938446
333,10.32503979
334,2.118597277
335,3.49853677
336,4.57025236
337,4.894424443
338,8.414179679
339,13.65358043
340,18.84065461
341,10.45665692
342,8.62574765
343,7.903715211
344,8.661632391
345,7.367423245
346,9.483937635
347,8.885714711
348,9.61152253
349,8.702791461
350,9.742125489
351,10.18777849
352,7.24147051
353,5.803874371
354,7.586848223
355,8.470051785
356,11.47655109
357,11.87285198
358,10.06669446
359,7.354996739
360,8.6804925
361,7.589510138
362,8.454371355
363,7.88427259
364,8.237564322
365,8.313772586
366,8.23039049
367,7.546667956
368,9.482031382
369,8.831045278
370,10.78376876
371,10.18691589
372,10.88619739
373,9.865142698
374,10.41030118
375,13.85766392
376,19.50900596
377,18.31938017
378,14.80221249
379,12.13116117
380,16.23516017
381,14.7290781
382,6.174103361
383,4.578225377
384,1.674248338
385,1.2361653
386,2.60197411
387,1.20443459
388,1.60560548
389,4.552166336
390,3.20862397
391,0.721049629
392,0.517563979
393,0.366242353
394,0.913654932
395,0.62433004
396,0.453035337
397,0.55918527
398,1.273100616
399,0.901104243
400,0.602047763
401,0.634293439
402,0.554304521
403,1.050978497
404,1.374983313
405,1.334450028
406,1.9805839
407,0.249257022
408,1.617990286
409,5.141206478
410,1.290231441
411,1.62324847
412,0.968772391
413,1.419562901
414,1.315634141
415,1.778405592
416,1.492160547
417,1.555162275
418,2.14502357
419,3.841974445
420,12.4035071
421,19.58786756
422,11.51816836
423,11.49146711
424,9.944045679
425,3.126289031
426,0.978651049
427,0.841006409
428,0.901353601
429,0.829565048
430,1.680821674
431,1.411539759
