Year,BHAC6,BHAC5,BHAC5max,BHAC5min,AM4Age,AM4Freq,AMstack
2020,NaN,NaN,NaN,NaN,2013.9,NaN,NaN
2019,NaN,NaN,NaN,NaN,2012.5,NaN,NaN
2018,NaN,NaN,NaN,NaN,2011.2,NaN,NaN
2017,NaN,NaN,NaN,NaN,2009.8,NaN,NaN
2016,NaN,NaN,NaN,NaN,2008.5,NaN,NaN
2015,NaN,NaN,NaN,NaN,2007.1,NaN,NaN
2014,NaN,NaN,NaN,NaN,2005.7,NaN,NaN
2013,NaN,NaN,NaN,NaN,2004.4,NaN,NaN
2012,NaN,NaN,NaN,NaN,2003,NaN,NaN
2011,NaN,NaN,NaN,NaN,2001.6,NaN,NaN
2010,NaN,NaN,NaN,NaN,2000.2,NaN,NaN
2009,NaN,NaN,NaN,NaN,1998.9,NaN,NaN
2008,NaN,NaN,NaN,NaN,1997.5,NaN,NaN
2007,NaN,NaN,NaN,NaN,1996.1,NaN,NaN
2006,NaN,NaN,NaN,NaN,1994.8,NaN,NaN
2005,NaN,NaN,NaN,NaN,1993.4,NaN,NaN
2004,NaN,NaN,NaN,NaN,1992.1,NaN,NaN
2003,NaN,NaN,NaN,NaN,1990.7,NaN,NaN
2002,NaN,NaN,NaN,NaN,1989.3,NaN,NaN
2001,NaN,NaN,NaN,NaN,1988,NaN,NaN
2000,NaN,NaN,NaN,NaN,1986.6,NaN,NaN
1999,NaN,NaN,NaN,NaN,1985.4,NaN,NaN
1998,NaN,NaN,NaN,NaN,1984.3,NaN,NaN
1997,NaN,NaN,NaN,NaN,1983,NaN,NaN
1996,NaN,NaN,NaN,NaN,1981.9,NaN,NaN
1995,NaN,NaN,NaN,NaN,1980.7,NaN,NaN
1994,NaN,NaN,NaN,NaN,1979.4,NaN,NaN
1993,NaN,NaN,NaN,NaN,1978.2,NaN,NaN
1992,NaN,NaN,NaN,NaN,1976.9,NaN,NaN
1991,NaN,NaN,NaN,NaN,1975.7,NaN,NaN
1990,NaN,NaN,NaN,NaN,1974.4,NaN,NaN
1989,NaN,NaN,NaN,NaN,1973.2,NaN,NaN
1988,NaN,NaN,NaN,NaN,1972,NaN,NaN
1987,NaN,NaN,NaN,NaN,1970.7,NaN,NaN
1986,NaN,NaN,NaN,NaN,1969.5,NaN,NaN
1985,NaN,NaN,NaN,NaN,1968.3,NaN,NaN
1984,NaN,NaN,NaN,NaN,1967,NaN,NaN
1983,NaN,NaN,NaN,NaN,1965.8,NaN,NaN
1982,NaN,NaN,NaN,NaN,1964.6,NaN,NaN
1981,NaN,NaN,NaN,NaN,1963.4,2,NaN
1980,NaN,NaN,NaN,NaN,1962.1,2,NaN
1979,NaN,NaN,NaN,NaN,1961.2,2,NaN
1978,NaN,NaN,NaN,NaN,1960.4,2,NaN
1977,NaN,NaN,NaN,NaN,1959.6,2,NaN
1976,NaN,NaN,NaN,NaN,1958.8,2,NaN
1975,NaN,NaN,NaN,NaN,1958,2,NaN
1974,NaN,NaN,NaN,NaN,1957.2,2,NaN
1973,NaN,NaN,NaN,NaN,1956.5,2,NaN
1972,NaN,NaN,NaN,NaN,1955.7,2,NaN
1971,NaN,NaN,NaN,NaN,1955,2,2
1970,-0.87126,19.75,27.31,12.19,1954.3,2,2
1969,-0.87126,20.05,27.64,12.46,1953.5,2,2
1968,-0.97174,20.29,27.86,12.72,1952.8,2,2
1967,-0.97174,20.45,27.99,12.91,1952,2,2
1966,-0.53071,19.62,26.28,12.96,1951.2,2,2
1965,-0.53071,19.67,26.28,13.06,1950.4,2,2
1964,-0.60957,19.58,26.04,13.12,1949.5,2,2
1963,-0.51102,19.43,25.68,13.17,1948.7,2,2
1962,-0.44403,19.28,25.32,13.24,1947.9,2,2
1961,-0.44403,19.18,25.06,13.3,1947.1,2,2
1960,-0.44403,19.09,24.84,13.33,1946.2,2,2
1959,-0.44403,19.05,24.71,13.4,1945.3,2,2
1958,-0.58988,19.02,24.61,13.43,1944.3,2,2
1957,-0.55317,18.97,24.48,13.46,1943.3,2,2
1956,-0.55317,18.93,24.36,13.5,1942.3,2,2
1955,-0.65172,18.9,24.27,13.54,1941.2,2,2
1954,-0.68843,18.86,24.15,13.56,1940.1,2,2
1953,-0.62392,18.82,24.05,13.58,1939.1,2,2
1952,-0.70278,18.79,23.97,13.61,1938,2,2
1951,-0.76463,18.74,23.86,13.61,1936.9,2,2
1950,-0.76463,18.71,23.79,13.63,1935.9,2,2
1949,-0.76463,18.66,23.67,13.65,1934.9,2,2
1948,-0.83161,18.63,23.6,13.66,1933.9,2,2
1947,-0.83161,18.59,23.51,13.68,1932.8,2,2
1946,-0.89345,18.58,23.44,13.72,1931.9,2,2
1945,-0.89345,18.53,23.35,13.72,1930.8,2,2
1944,-0.89345,18.53,23.3,13.75,1929.8,2,2
1943,-0.89345,18.5,23.23,13.78,1928.8,2,2
1942,-0.85674,18.53,23.23,13.83,1927.9,2,2
1941,-0.85674,18.55,23.2,13.9,1927,2,2
1940,-0.85674,18.56,23.16,13.95,1926,2,2
1939,-0.85674,18.62,23.19,14.04,1924.8,2,2
1938,-0.92373,18.7,23.25,14.14,1923.5,2,2
1937,-0.92373,18.77,23.3,14.24,1922.3,2,2
1936,-0.92373,18.85,23.35,14.34,1921.1,2,2
1935,-0.92373,18.95,23.44,14.45,1919.8,2,2
1934,-0.92373,19.06,23.56,14.55,1918.6,2,2
1933,-0.92373,19.14,23.64,14.63,1917.3,2,2
1932,-0.92373,19.23,23.74,14.71,1916,2,2
1931,-0.92373,19.32,23.86,14.79,1914.7,2,2
1930,-0.82251,19.45,24,14.89,1913.5,2,2
1929,-0.82251,19.61,24.2,15.02,1912.3,2,2
1928,-0.75552,19.74,24.36,15.12,1911.1,2,2
1927,-0.67666,19.91,24.58,15.25,1910,2,2
1926,-0.67666,20.09,24.79,15.38,1908.9,2,2
1925,-0.67666,20.3,25.05,15.54,1907.7,2,2
1924,-0.67666,20.5,25.31,15.7,1906.7,2,2
1923,-0.71337,20.68,25.52,15.84,1905.7,2,2
1922,-0.71337,20.87,25.75,15.98,1904.6,1,2
1921,-0.71337,21.06,25.99,16.14,1903.5,1,2
1920,-0.64638,21.25,26.21,16.29,1902.5,1,2
1919,-0.74493,21.43,26.41,16.44,1901.4,1,2
1918,-0.74493,21.57,26.57,16.56,1900.1,1,2
1917,-0.68042,21.76,26.79,16.73,1899,1,2
1916,-0.68042,21.93,26.97,16.89,1897.7,1,2
1915,-0.64371,22.12,27.18,17.06,1896.4,1,2
1914,-0.70822,22.33,27.41,17.24,1895.1,1,2
1913,-0.64371,22.49,27.6,17.39,1893.8,1,2
1912,-0.64371,22.67,27.79,17.55,1892.5,1,2
1911,-0.64371,22.78,27.91,17.66,1891.2,1,2
1910,-0.64371,22.95,28.1,17.81,1890,1,1
1909,-0.66898,23.09,28.26,17.92,1888.7,1,1
1908,-0.57043,23.24,28.42,18.05,1887.4,1,1
1907,-0.57043,23.36,28.55,18.16,1886.1,2,1
1906,-0.57043,23.54,28.74,18.33,1885,2,1
1905,-0.53371,23.65,28.85,18.45,1883.7,2,1
1904,-0.497,23.84,29.06,18.62,1882.6,2,1
1903,-0.497,23.98,29.23,18.73,1881.5,1,1
1902,-0.497,24.15,29.41,18.88,1880.4,1,1
1901,-0.497,24.28,29.56,18.99,1879.3,1,1
1900,-0.39845,24.4,29.7,19.09,1878.2,1,1
1899,-0.39845,24.54,29.87,19.21,1877.2,1,1
